Assay	Library Name	Assay Date	Region	Country	Density lb/ft3	Sulfur %	KinematicViscosity @ 100 F cSt	TAN(mg KOH/g) mg KOH/g	Pour Point F	Blank
Arabian Extra Light-2011	Aspen Assay Library	4/11/2011	Middle East	Saudi Arabia	51.0480391795987	0.832843681419982	2.26676266223056	0.0621553700605371	56.5487181739784	
Arabian Heavy-2015	Aspen Assay Library	3/19/2015	Middle East	Saudi Arabia	55.4050587303198	3.53034277868593	11.267308344745	0.153115455951349	63.3479135920459	
Arabian Light-2012	Aspen Assay Library		Middle East	Saudi Arabia	53.5594987433452	1.88119185497949	5.43625570311991	0.0567818870305388	57.2972759039198	
Arabian Medium-2012	Aspen Assay Library	11/22/2011	Middle East	Saudi Arabia	54.3242877891445	2.45826205630045	7.27013033431362	0.16704628351128	65.2824036452995	
Aseng-2015	Aspen Assay Library	12/19/2014	West Africa	Equatorial Guinea	53.9728235349693	0.236029036086764	6.15159691327716	0.196258530059871	103.598781641651	
Azeri Light-2016	Aspen Assay Library	1/13/2016	Middle East	Azerbaijan	52.1832227844782	0.137345478273707	4.15349623717682	0.306252606182187	69.9478861782827	
Beatrice-2011	Aspen Assay Library	6/24/2011	North Sea	United Kingdom	51.847716746062	0.0692645768785955	5.04418379095566	0.0635560608150572	90.4644178495653	
Black Hawk-2015	Aspen Assay Library	1/21/2015	North America	United States of America	47.9178826913448	0.0438534895231609	1.52268038704025	0.0182450494559228	48.9984487675733	
Blacktip Condensate-2010	Aspen Assay Library	2/20/2010	Australia	Australia	49.5736805656419	0.00347665636467701	0.941805370890439	0.00640948495753669	-44.5176683668956	
Bonga-2016	Aspen Assay Library	7/11/2016	West Africa	Nigeria	55.0179355654815	0.263612808355921	6.03602197253982	0.382091267785924	57.4452149164648	
Bonga-2015	Aspen Assay Library	2/6/2015	West Africa	Nigeria	54.3791221200176	0.241006032554754	5.11570018685641	0.56838950671515	50.434365167449	
Bonny Light-2011	Aspen Assay Library	11/29/2010	West Africa	Nigeria	53.2471399080265	0.149577968609496	3.50373548960263	0.264003114555576	57.291772337764	
Brega-2011	Aspen Assay Library	11/3/2010	North Africa	Libya	50.6708171516065	0.200982372795724	2.74439974754636	0.0533502033509812	65.9970256681616	
